MARCA,CATEGORÍA,SUBCATEGORIA,PRODUCTO,TXT PRINCIPAL,PDF,2 FOTOS EN USO,PNG TRANSPARENTE,TXT descriptivo ,,TEXTO ARGUMENTOS DE VALOR,CARACTERISTICAS,Palabras clave,Trabajos Ideales,GRUPO,OBSERVACIONES imagenes,IMAGEN secundaria
,,ASPERSORA,R4023,SI,SI,SI,SI ,NO,R4023,"Aspersora de 173hp a motor
Capacidad de 2300 lts 
Reducción de emisiones Tier 4
Aguilones de 80fts y opcional a 90fts
Traccción en las 4 ruedas
Con una distancia del suelo al bastidor inferior de 127cm
Con tecnología ExactApply del control de boquillas para evitar traslapes 
Capacidad de eductor químico de hasta 20lts
Palanca multifuncional CommandARM ergonómica de control total
Connect Mobile para conocer los datos de aplicación de producto","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión opción 12F/12R PowrReverser™",,,,✓,
,,FORRAJERO,972,SI ,SI ,SI,SI ,,972,"Equipada con 42 cuchillas de doble filo, la picadora de forraje 972 pone el ejemplo sobre cómo se debe cortar material para la alimentación directa a los comederos, ayudando a incrementar la producción y logrando un corte uniforme de calidad.","La picadora de mayales 972 tiene un ancho de corte de 6 pies para una buena productividad
Caño de descarga ajustable
Las ruedas calibradoras son muy fáciles de cambiar.
La conexión al tractor es rápida y sencilla.",,,,✓,
,,FORRAJERO,8300,SI ,SI ,SI,SI ,,8300,"Fiabilidad, rendimiento de picado y coste operativo son los tres factores más importantes a la hora de escoger una picadora de forraje nueva. Mayor fiabilidad significa mayor tiempo útil. El picado de precisión añade mayor valor para sus clientes. Y un menor coste operativo asegura una mayor rentabilidad. Sólo la nueva serie 8000 proporciona más a su negocio.","Potencia máx. 360 kW (490 CV).
Anchura de carcasa del cilindro picador: 686 mm.
Longitud de picado con 40 cuchillas: 7-26 mm en saltos de 1 mm.
Longitud de picado con 56 cuchillas: 5-19 mm en saltos de 1 mm.",,,,✓,
,,FORRAJERO,8400,SI,SI,SI,SI ,,8400,"Fiabilidad, rendimiento de picado y coste operativo son los tres factores más importantes a la hora de escoger una picadora de forraje nueva. Mayor fiabilidad significa mayor tiempo útil. El picado de precisión añade mayor valor para sus clientes. Y un menor coste operativo asegura una mayor rentabilidad. Sólo la nueva serie 8000 proporciona más a su negocio.","Potencia máx. 397 kW (540 CV).
Anchura de carcasa del cilindro picador: 686 mm.
Longitud de picado con 40 cuchillas: 7-26 mm en incrementos de 1 mm.
Longitud de picado con 56 cuchillas: 5-19 mm en incrementos de 1 mm.",,,,✓,
,,FORRAJERO,CABEZAL 639 RECOLECTOR,SI,X,SI,SI ,,639,,"Ancho de transporte 3m

Ancho de trabajo (ENTRE DIENTES) 2.56m",,,,✓,
,,FORRAJERO,CABEZAL 696 CORTADOR,SI ,X,NA,SI ,,696,,"Anchura de carcasa del cilindro picador: 686 mm.

Longitud de picado con 40 cuchillas: 7-26 mm en incrementos de 1 mm.

Longitud de picado con 56 cuchillas: 5-19 mm en incrementos de 1 mm.",,,,,
,,FORRAJERO,DESMENUZADORA 115,SI,SI,SI,SI,,Desmenuzadora 115,"Con la Desmenuzadora 115 se corta el residuo de cosecha para incorporarlo al suelo y mejorar su textura. Con esto hace más eficiente la retención de la lluvia y disminuye la erosión del suelo fértil.

Es ideal para las tareas de Labranza de Conservación, en donde se desea mantener la mayor cantidad posible de residuos orgánicos sobre la superficie de siembra.","Posición de funcionamiento ajustable: Transporte / Operación.
Altura de Corte variable con sistema hidráulico.
Cuchillas de Corte con doble filo.
Su Rotor es de giro vertical para triturar los residuos",,,,✓,
,,FORRAJERO,EMPACADORA 328,SI,SI ,SI,SI,,328,"John Deere te ofrece las empacadoras rectangulares con la mas alta tecnología que cuentan con el sistema de control probado en el campo, con ello obtienes pacas sólidas, fáciles de apilar y transportar. La Empacadora Rectangular 328 es la opción confiable.","Bastidor de diseño movible de los anudadores.
Compresor ajustable
Navaja del cordel de acero de alta calidad
Levantador de 74” de ancho
",,,,✓,
,,FORRAJERO,EMPACADORA 348,SI,SI,SI,SI,,348,"John Deere te ofrece las empacadoras rectangulares con la mas alta tecnología que cuentan con el sistema de control probado en el campo, con ello obtienes pacas sólidas, fáciles de apilar y transportar. La Empacadora Rectangular 328 es la opción confiable.","Compresor ajustable de forraje.
Tensión de paca hidráulica
Capacidad de hilera grande
Bloqueo automático
Configurable a hilo y alambre
Atador configurable: empacadora de hilo con opción atado doble o empacadora de alambre 
",,,,✓,
,,FORRAJERO,L341 EMPACADORA GIGANTE ,SI,SI,SI,SI,,L341 Empacadora gigante,"Gracias a que el diseño del rotor en línea de alta capacidad tiene menos partes móviles que necesitan servicio, puedes dejar de preocuparte por mantenimientos constantes y dedicarte a obtener los mejores resultados del suelo. Consigue pacas compactas y densas jornada tras jornada, incluso después de años de uso rudo. Aumenta tu productividad con el equipo líder en el mercado.","Pacas 122x90cm, peso paca hasta 998 Kg.
Compatible con tractores desde 145hp.
Recogedor 2.2m o más ancho del mercado 2.5m.
Sensores de pesaje y humedad líder en la industria.
La exclusiva tecnología BalerAssist™permite desatascar el sistema de alimentación desde la cabina hidráulicamente.",,,,✓,
